Most popular long term keywords (top 500 only)
 

Rank	Keywords	Searches
1	hotels	2253849
2	facebook	1153319
3	youtube	571140
4	craigslist	473659
5	facebook login	460496
6	aquarius	460460
7	google	430871
8	ebay	363682
9	yahoo	328325
10	yahoo mail	230459
11	gmail	208876
12	hotmail	190706
13	mapquest	184557
14	you tube	159023
15	amazon	158090
16	facebook.com	142748
17	google maps	142405
18	walmart	138017
19	yahoo.com	135497
20	home depot	123139
21	hotmail.com	113935
22	pthc	110840
23	msn	102255
24	backpage	99727
25	amazon.com	99043
26	netflix	93992
27	aol	92423
28	weather	90682
29	cnn	88217
30	lowes	85831
31	aol.com	83350
32	best buy	83239
33	dogpile	82598
34	google.com	81122
35	target	73247
36	cars	70309
37	google search	69998
38	espn	69708
39	wikipedia	69454
40	hot	69072
41	fox news	68647
42	ls island	65735
43	sears	64995
44	nudist	64542
45	ebay.com	64381
46	bing	64332
47	gmail.com	63313
48	white pages	61996
49	craigs list	61033
50	youtube.com	58471
51	southwest airlines	56507
52	peachtree accounting currper	55702
53	drudge report	55603
54	www.facebook.com	54577
55	youtube videos	53637
56	verizon wireless	52229
57	craigslist.com	51496
58	jebanje matorke	50774
59	weather channel	49480
60	weather.com	49342
61	plenty of fish	48306
62	dictionary	47843
63	ls dreams	47677
64	kim kardashian	47431
65	comcast.net	45798
66	motherless	45667
67	occupation of america	45666
68	msn.com	44983
69	showtimeback.homestead.com	44976
70	teeny angels	44285
71	dezzyb.homestead.com	43832
72	badoneent.homestead.com	43240
73	news	42731
74	lovelybadone.homestead.com	42695
75	girls	41464
76	msnbc	41419
77	imdb	40307
78	walmart.com	40037
79	hulu	40012
80	por hub	40008
81	egotastic	39353
82	virgo	39320
83	bikini	39222
84	cancer	39218
85	leo	39143
86	myspace	38498
87	carmen electra	38406
88	google earth	38278
89	hotmail sign in	37858
90	v for victory	37410
91	bank of america	37332
92	yellow pages	37259
93	naturism	37170
94	scorpio	36876
95	index.htm	36769
96	taurus	36682
97	bed bath and beyond	36484
98	maps	36425
99	aries	36365
100	miley cyrus	36132
101	test	35937
102	costco	35821
103	pisces	35709
104	oops	35311
105	free galleries	34950
106	astrology	34791
107	nudism	34700
108	beeg	34666
109	met art	34570
110	altavista	34501
111	libra	34391
112	search engines	34337
113	tube	34131
114	gemini	34013
115	kohls	33787
116	usps	33577
117	break ground square feet	33342
118	jessica alba	32958
119	mature	32937
120	drudge	32915
121	sams club	32867
122	paypal	32706
123	games	32642
124	capricorn	32606
125	the hunsyellow pages	32414
126	dogs	32377
127	lolicon	32231
128	ls magazine	32108
129	delta airlines	31797
130	hurricane tracker	31792
131	map quest	31760
132	tmz	31570
133	a	31510
134	www.yahoo.com	31356
135	sagittarius	31132
136	babes	30660
137	dancing with the stars	30625
138	jennifer aniston	30535
139	facebook login page	30407
140	itunes	30354
141	gmail sign in	30333
142	empflix	30210
143	imgsrc	30173
144	lindsay lohan	30130
145	elephant tube	29855
146	amazon books	29808
147	sandra model	29646
148	nfl	29634
149	google images	29608
150	ask.com	29474
151	auto trader	29275
152	imgsrc ru	29087
153	free	29042
154	rss	28952
155	ups tracking	28711
156	aol mail	28547
157	skype	28485
158	expedia	28382
159	firefox	28023
160	ebay motors	27953
161	verizon	27851
162	dog	27672
163	youtube broadcast yourself	27634
164	flickr	27622
165	office depot	27578
166	jessica simpson	27398
167	american airlines	27380
168	travelocity	27262
169	watch tv online	27194
170	gardening tools	27118
171	imgsrc.ru	26679
172	{website}	26594
173	kmart	26508
174	scarlett johansson	26373
175	cabelas	26218
176	kelly blue book	26158
177	chatroulette	26006
178	twitter	25751
179	radio shack	25741
180	staples	25612
181	yahoomail	25573
182	face book	25454
183	irs	25453
184	qvc	25428
185	movies	25403
186	pandora	25274
187	megan fox	25249
188	kristen s archives	25213
189	www.google.com	25160
190	dans movies	25147
191	online games	25034
192	cheap airline tickets	24761
193	67.220.92.22 forum index.php	24717
194	allergies	24537
195	bbc news	24508
196	united airlines	24447
197	cnn.com	24445
198	x videos	24418
199	dailymotion	24416
200	naturist	24389
201	halloween costumes	24299
202	girl	24230
203	weather forecast	24196
204	easter baskets	24047
205	avizoon	23993
206	barnes and noble	23912
207	preteensexpics	23507
208	mortgage calculator	23459
209	dogpile.com	23407
210	autozone	23403
211	plentyoffish	23387
212	videos	23381
213	asian	23346
214	lingerie	23328
215	american idol	23315
216	music	23244
217	katy perry	23220
218	ups	23158
219	emma watson	23017
220	chase	22921
221	funny	22903
222	macys	22824
223	facebook log in	22798
224	topless	22791
225	mapquest.com	22667
226	pic hunter	22501
227	funny videos	22245
228	lucy pinder	22038
229	storm tracker	21989
230	nifty	21959
231	mississippi flooding	21906
232	match.com	21795
233	angelina jolie	21662
234	target.com	21604
235	insider trading	21564
236	bibcam	21554
237	victoria justice fakes	21519
238	harbor freight	21486
239	mujeres eyaculando	21197
240	breasts	21180
241	lowes home improvement	21163
242	ipad	21114
243	cats	21082
244	ikea	21069
245	toys r us	21053
246	busty	20997
247	justin bieber	20975
248	search engine list	20911
249	youporon	20863
250	natalie portman	20808
251	comcast	20802
252	ovguide	20669
253	driving directions	20636
254	love	20634
255	irs.gov	20483
256	mutual funds	20478
257	anime	20455
258	huffington post	20379
259	wikileaks	20347
260	jobs	20300
261	dogpile search spy	20221
262	upshorts	20083
263	omegle	20020
264	southern charms	19998
265	walgreens	19917
266	lisa ann	19694
267	mila kunis	19668
268	wells fargo	19653
269	lil amber	19610
270	video one	19607
271	f	19599
272	fakku	19596
273	kindle	19548
274	royal wedding	19528
275	realtor.com	19450
276	hamster	19374
277	rockettube	19349
278	pof	19284
279	cnn news	19283
280	people search	19283
281	foxnews	19264
282	dish network	19231
283	linkedin	19216
284	jcpenney	19185
285	food network	19166
286	homemade videos	19164
287	bbc	19129
288	att.net	19086
289	apple	19071
290	ls land underground	19066
291	juggworld	19007
292	brooke burke	18975
293	chase.com	18970
294	pirate bay	18897
295	cuckold	18866
296	motherless.com	18846
297	besplatni strani filmovi za gledanje sa prevodom	18754
298	continental airlines	18749
299	jessica biel	18703
300	overstock.com	18626
301	kidscorner.com	18623
302	ask	18618
303	coupons	18528
304	casey anthony	18524
305	movie trailers	18517
306	vida guerra	18504
